index	src	tgt	transforms.Combined
3	( self ) : self . res1 = adfuller ( self . x regression = ct autolag = none maxlag = 4 ) self . teststat = - 1.8566374 self . pvalue = 0.67682968 self . critvalues = [ - 4.007 - 3.437 - 3.137 ]	init	( self ) :   if false : avail = 1 self . flakes = adfuller ( self . x regression = ct autolag = none maxlag = 4 )    self . parsexml = - 1.8566374    self . pvalue = 0.67682968  print ( homogeneity )  self . critvalues = [ - 4.007 - 3.437 - 3.137 ]   if false : exp = 1
5	( self port = 8000 root = . log message = lambda x * y : none ) : thread . init ( self ) handler = request handler handler . www root = root handler . log message = log message self . httpd = reuse address server ( ( port ) handler ) self . httpd . wait = false self . httpd . kill received = false	init	( self port = 8000 analyzing = . log message = lambda x * y : none ) :    thread . init ( self )  print ( linting )  handler = request handler    handler . www root = analyzing  print ( formfield )  handler . log message = log message if false : blueprint = 1   self . httpd = reuse address server ( ( port ) handler )    self . httpd . wait = false    self . httpd . kill received = false   if false : updates = 1
9	( self ) : self . threads = support . threading setup ( )	set up	( self ) : if false : gets = 1 print ( fromsubclass ) if false : prefixed = 1 self . lwrite = support . threading setup ( )   if false : reverse = 1
13	( self ) : response = self . fetch ( /healthcheck ) expect ( response . body ) . to equal ( working )	test healthcheck	( self ) : if false : vstruct = 1   response = self . fetch ( /healthcheck ) if false : context = 1 print ( lwrite )  expect ( response . body ) . to equal ( working ) if false : init = 1 print ( formfield ) 
25	( self other ) : return ( self . pid == other . pid and self . sid == other . sid and self . score == other . score and self . p start == other . p start and self . p end == other . p end and self . p len == other . p end and self . s start == other . s start and self . s end == other . s end and self . s len == other . s len )	eq	( self other ) :    return ( self . underscores == other . pid and self . sid == other . sid and self . score == other . score and self . p start == other . p start and self . turn == other . p end and self . mp == other . p end and self . s start == other . s start and self . s end == other . s end and self . quota == other . s len )   if false : tabs = 1
26	( * args ** kwargs ) : shortcut for fopen with lock and context manager with fopen ( * args ** kwargs ) as fhandle : try : if is fcntl available ( check sunos = true ) : fcntl . flock ( fhandle . fileno ( ) fcntl . lock sh ) yield fhandle finally : if is fcntl available ( check sunos = true ) : fcntl . flock ( fhandle . fileno ( ) fcntl . lock un )	flopen	( * args ** families ) :    shortcut for fopen with lock and context manager    with fopen ( * args ** families ) as fhandle :  print ( inotify )  try :   if false : serves = 1 if is fcntl available ( check sunos = true ) :    fcntl . flock ( fhandle . fileno ( ) fcntl . lock sh )       yield fhandle    finally : if is fcntl available ( check sunos = true ) : fcntl . flock ( fhandle . fileno ( ) fcntl . lock un )  print ( pname )  if false : curdir = 1  
28	( self ) : dont warn when the assignment is used in an inner function. self . flakes ( def bar maker(): foo = 5 def bar(): return foo return bar )	test closedover	( self ) : if false : vstruct = 1  if false : fromsubclass = 1 dont warn when the assignment is used in an inner function.   if false : lwrite = 1 self . flakes ( def bar maker(): foo = 5 def bar(): return foo return bar ) if false : formfield = 1  if false : getattribute = 1
32	( ) : b = block ( [ constant ( 1 ) ] ) g = function graph ( g b ) g . startblock . closeblock ( link ( [ constant ( 1 ) ] g . returnblock ) ) py . test . raises ( assertion error checkgraph g )	test nonvariableinputarg	( ) :  print ( rdt )  b = block ( [ constant ( 1 ) ] )    artifact = function graph ( g b )  print ( homogeneity )  artifact . startblock . closeblock ( link ( [ constant ( 1 ) ] artifact . returnblock ) )    py . test . raises ( assertion error checkgraph artifact )  print ( lwrite ) if false : bymonthday = 1
35	( self ) : l{http parser.switch to body mode} raises l{runtime error} if called more than once. protocol = http parser ( ) protocol . make connection ( string transport ( ) ) protocol . switch to body mode ( object ( ) ) self . assert raises ( runtime error protocol . switch to body mode object ( ) )	test switchtobodymode	( self ) : if false : rdt = 1   l{http parser.switch to body mode} raises l{runtime error} if called more than once.    context = http parser ( )  print ( lwrite )  context . make connection ( string transport ( ) )  print ( save )  context . switch to body mode ( object ( ) )    self . assert raises ( runtime error context . switch to body mode object ( ) ) if false : res0 = 1  
38	( self * backends ** kwargs ) : super ( multi authentication self ) . init ( ** kwargs ) self . backends = backends	init	( self * pkt ** kwargs ) : if false : int32 = 1  if false : lwrite = 1 super ( multi authentication self ) . init ( ** kwargs )  print ( volume )  self . flakes = pkt   
